raf_numero;aue_raisonsociale;aue_adresse;aue_codepostal;aue_commune;dpt_id;aue_siteinternet;aue_permis1euro_flag;aue_labelqualite_flag;aue_ecoleasso_flag;aue_aac_flag;aue_cs_flag;A_flag;A1_flag;A2_flag;B_flag;BE_flag;C_flag;C1_flag;CE_flag;C1E_flag;D_flag;D1_flag;DE_flag;D1E_flag;A_taux_1pra;A_taux_xpra;B_taux_1pra;B_taux_1pra_aac;B_taux_1pra_cs;B_taux_xpra;CD_taux_1pra;CD_taux_xpra;aue_enligne_flag
E0104302280;Ecole de Conduite Yssingelaise;18 rue DE TURENNE;43200;YSSINGEAUX;43;;false;false;false;false;false;true;true;true;true;false;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104302300;Auto-école Pierre GENEST;36 route de Saint-Agrève;43400;LE CHAMBON-SUR-LIGNON;43;;false;false;false;true;false;false;true;true;true;false;false;false;false;false;false;false;false;false;0;0;0.8;1;0;0.8421;0;0;false
E0104500900;AE des Lycees_Beaudet;16 Rue Emile Zola;45000;ORLEANS;45;;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104501960;AUTO ECOLE DE LA SOURCE L UNIVERSITE;14 avenue John F. Kennedy;45100;ORLEANS;45;;true;true;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104502120;ESPACE CONDUITE;10 rue Thiers;45500;GIEN;45;;true;true;false;false;false;true;true;true;true;true;true;false;true;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104502470;ecole de conduite STEICHEN;80 rue Jean-Jaurès;45230;CHATILLON-COLIGNY;45;;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104502570;AUTO ECOLE CASELLA;39 rue de Bel Air;45380;LA CHAPELLE-SAINT-MESMIN;45;;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104502640;ECOLE DE CONDUITE LES 3 ROIS;31 GRANDE RUE;45110;CHATEAUNEUF-SUR-LOIRE;45;;true;true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104502660;les remparts;33 Rue Porte d'Amont;45130;MEUNG-SUR-LOIRE;45;;false;false;false;false;false;false;false;false;true;false;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
E0104502730;CLERY CONDUITE;139 RUE DU MARECHAL FOCH;45370;CLERY-SAINT-ANDRE;45;;true;true;false;false;false;true;true;true;true;true;false;false;false;false;false;false;false;false;0;0;0;0;0;0;0;0;false
